City,Address,Payment_method,Phone,Email
Хабаровск,"ул. Муравьева-Амурского, д.4, офис 404 (Комсомольская площадь, Дом объединения профсоюзов).",,"(4212) 32-48-35, 60-64-65",svbelyakova@yandex.ru
Чебоксары,"пр. Ленина, д. 19, корп. 1, оф. Арго",,8 (8352) 463-007,argo21reg@mail.ru
Челябинск,"ул. 40 лет Победы, 29В",,8-904-805-05-73,Priladysheva75@mail.ru
Челябинск,"ул. Агалакова, д. 30, оф.01",,"(351)2489334, 89193437939",argoimpuls@mail.ru
Челябинск,"пр. Комсомольский, д. 38",,8 (351) 740-33-32,irargo@mail.ru
Чехов,"ул. Чехова, д. 20",,8(496)72-70-505,argo147608@yandex.ru
Чита,"ул. Ленина д.27, оф.(кв) 2",,+7 914 468 6153,zabsk@yandex.ru
Чита,"Ленина 90, 11",,+7-902-226-65-82,argostyle@mail.ru
Экибастуз,"ул.Кеншелер , 18 Павильон Сказка(2 этаж)",,Да,ekargo@mail.ru
Элиста,"1 мкр-н, д. 46/Б",,28-917,Larisa-svet@mail.ru
Южноуральск,"г. Южноуральск ул. Космонавтов, д.7",,,inna_argo@mail.ru
Якутск,"ул. Лермонтова, д.32, оф. 17",,+7-4112-42-80-52,lb325591@yandex.ru
