GOODS_NAME	GOODS_URL	GOODS_SECTION_ID	GOODS_PV	GOODS_CONDITION	GOODS_ANTY_CONDITION	GOODS_RECOMMENDATION	GOODS_PROPERTY	GOODS_COMPOSITION	GOODS_PACKING	GOODS_WEIGHT	PROVIDER_SHOW_NAME	CATALOG_SECTION_ID	CATALOG_NAME	CATEGORY
Литовит-Ч, таблетки, 140 г	https://argo.pro/catalog/dykhatelnaya-sistema/6839/	172	37.0	- в комплексной терапии нарушений массы тела; <br />- при заболеваниях верхних отделов желудочно-кишечного тракта (гастрит, гастродуоденит, язвенная болезнь желудка и двенадцатиперстной кишки вне обострения); <br />- при доброкачественных новообразованиях (мастопатия, фибромиома матки и пр.); <br />- в комплексной терапии и реабилитации при онкологических заболеваниях, в том числе лучевой и/или химиотерапии.	Язвенная болезнь желудка и двенадцатиперстной кишки в стадии обострения, индивидуальная непереносимость компонентов.	По 1 таблетке два раза  в день во время еды, разжевать и  запить  0,5–1 стаканом жидкости.  Прием Литовита­-Ч разносить по времени с приемом лекарственных препаратов на 1,5–2 часа.  <br />Длительность приема – 1 месяц.	Нормализует минеральный обмен; выводит радиоактивные, токсические вещества и продукты метаболизма из организма.	Березовый гриб (чага) - 55 %, цеолит - 45 %.	Таблетки 140 г	180	Новь	172	Дыхательная 	Системы и направления/Здоровое питание/Регуляторы систем и функций организма/Системы организма/Дыхательная /
Бальзам «Сибирячок», 100 мл	https://argo.pro/catalog/dykhatelnaya-sistema/7025/	172	11.0		Индивидуальная непереносимость компонентов.	Для детей с 3-х лет. Принимать по 1–2 чайных ложки 2–3 раза в день. Возможно применение с чаем, минеральной газированной водой, способной ускорять всасывание биологически активных веществ в организме. Длительность курса непрерывного применения 28–36 дней. Повторение курса возможно после 3 недель перерыва.	• улучшает функционирование дыхательной и мочевыводящей систем при воспалительных заболеваниях; <br />• укрепляет иммунитет; <br />• нормализует тонус вегетативной нервной системы и психоэмоциональный статус; <br />• обладает отхаркивающим и мягчительным эффектами; <br />• предупреждает переход острых воспалительных процессов в хроническую форму; <br />• является дополнительным источником витамина С.	Сахарный сироп, мед, лист мать-и­-мачехи, лимонная кислота, экстракт клюквенный, экстракт душицы, витамин С; экстракт зверобоя, пантогематоген; экстракт корня солодки.	100 мл	165	ЮГ	172	Дыхательная 	Системы и направления/Здоровое питание/Регуляторы систем и функций организма/Системы организма/Дыхательная /
Карамель леденцовая «Плантико Лептопротект», 33 г	https://argo.pro/catalog/dykhatelnaya-sistema/7055/	172	4.0		Индивидуальная непереносимость компонентов.	- не требует специального дозирования. 	Применяется как общеукрепляющее средство, улучшает неспецифическую резистентность организма, помогает справиться с последствиями ОРВИ.	Сахар, патока, кислота лимонная, БАД «Лептопротект», ароматизатор идентичный натуральному.	33 г	35	Апифарм	172	Дыхательная 	Системы и направления/Здоровое питание/Регуляторы систем и функций организма/Системы организма/Дыхательная /
Концентрат сухой напитка безалкогольного «Инфлю-стоп», 10 пакетов по 10 г	https://argo.pro/catalog/dykhatelnaya-sistema/7671/	172	17.0	Используется в качестве безалкогольного напитка, обладающего общеукрепляющим действием и применяемого в профилактических целях в период эпидемий гриппа и респираторных вирусных инфекций, при наличии хронических воспалительных процессов в носо- и ротоглотке.	Индивидуальная непереносимость компонентов продукта, беременность, кормление грудью.	Содержимое 1 пакетика растворить в стакане горячей воды, напиток употреблять в горячем или холодном виде.	Инфлю-стоп содержит ряд биологически активных веществ: <br />• Катехины и их производные (танины или, иначе, дубильные вещества), обладающие противовирусной, антиоксидантной, капилляроукрепляющей активностью. Ограничивают распространение инфекции. Источники - зеленый чай, курильский чай. <br /> • Тритерпеновые сапонины блокируют проникновение вирусов в клетку, обладают противомикробным и противовоспалительным действием. Источники - курильский чай, чага (инотодиол, траметеноловая кислота), солодка (глицирризиновая кислота), ромашка (хамазулен). <br /> • Витамин С - аскорбиновая кислота - антиоксидант, нормализующий энергетический обмен, стимулирует функцию коры надпочечников, обладает противовоспалительным действием. Источники - шиповник, курильский чай. <br />• Флавоноиды - оказывают антиоксидантное, капилляроукрепляющее, противомикробное, противовоспалительное действие. Источники - чага, солодка, курильский чай. <br />• Полисахариды - стимулируют выработку интерферона, усиливают местный и общий противовирусный и антибактериальный иммунитет. Источники - чага, солодка. <br />• Янтарная кислота - стимулятор энергетического обмена.	Экстракты зеленого чая, плодов шиповника, чаги, корня солодки, ромашки, лапчатки кустраниковой; янтарная кислота, фруктоза.	10 пакетиков по 10 г	130	Апифарм	172	Дыхательная 	Системы и направления/Здоровое питание/Регуляторы систем и функций организма/Системы организма/Дыхательная /
БронхоЛайн, коллоидная фитоформула, 235 мл	https://argo.pro/catalog/dykhatelnaya-sistema/622371/	172	70.0	Коллоидная фитоформула БронхоЛайн рекомендуется в качестве биологически активной добавки как дополнительный источник витаминов С, Е, В₁, флавоноидов (кверцетина, гесперидина), глицирризиновой кислоты.  <br />Активные компоненты фитоформулы доказали свою эффективность в профилактике и комплексной терапии следующих состояний и заболеваний:  <br />• хроническая обструктивная болезнь лёгких (ХОБЛ);  <br />• острые и хронические бронхиты, трахеобронхит;  <br />• бронхиальная астма различного типа, в том числе атопическая;  <br />• различные острые вирусные и бактериальные заболевания (грипп, парагрипп, пневмония, ОРЗ и т.д.).	Индивидуальная непереносимость компонентов; беременность и кормление грудью.	Взрослым по 5 мл (1 чайная ложка) 1 раз в день во время еды. Продолжительность приёма – 1 месяц. При необходимости курс приёма и дозировка могут подбираться специалистом индивидуально.	- Улучшает функции внешнего дыхания; <br />-  способствует выведению токсинов и болезнетворных микробов;  <br />- помогает устранить спазмы мускулатуры бронхов и уменьшить обструкцию;  <br />- способствует разжижению мокроты и облегчает её отхождение;  <br />- стимулирует процессы регенерации клеточных элементов;  <br />- устраняет общедистрофические изменения в тканях бронхов; <br />- оказывает противовоспалительное действие; <br />- возвращает обоняние и улучшает мозговую деятельность после перенесенной коронавирусной инфекции.	В 5 мл содержится <br /> <br /><br />Иссоп узколистный (Hyssopus angustifolius L.), экстракт листьев и стеблей           <br /><br />400 мг      <br /> <br /><br />Солодка голая (Glycyrrhiza glabra L.), экстракт корня               <br /><br />200 мг      <br /> <br /><br />Адхатода сосудистая (Adhatoda vasica Nees.), экстракт листьев           <br /><br />100 мг      <br /> <br /><br />Андрографис метельчатый (Andrographis paniculata Nees.), экстракт листьев                 <br /><br />100 мг      <br /> <br /><br />Мать-и-мачеха (Tussilago farfara L.), экстракт листьев      <br /><br />100 мг      <br /> <br /><br />Коровяк скипетровидный (Verbascum thapsiforme Schrad.), экстракт соцветий        <br /><br />80 мг      <br /> <br /><br />Эхинацея пурпурная (Echinacea purpurea (L.) Moench.), экстракт корня              <br /><br />70 мг      <br /> <br /><br />Эхинацея узколистная (Echinacea angustifolia DC.), экстракт корня        <br /><br />70 мг      <br /> <br /><br />Витамин С (аскорбиновая кислота)               <br /><br />150 мг      <br /> <br /><br />Витамин Е (d-альфа-токоферол)         <br /><br />23 мг      <br /> <br /><br />Витамин B1 (тиамина гидрохлорид)             <br /><br />1,7 мг      <br /> <br /><br />L-цистеин           <br /><br />100 мг      <br /> <br /><br />Кверцетин          <br /><br />30 мг      <br /> <br /><br />Гесперидин        <br /><br />15 мг      <br /> <br /><br />Другие ингредиенты: деионизированная вода, глицерин, ксантановая камедь, гидроксилат лецитина, сорбат калия, ароматизатор натуральный – пунш (персик, груша, виноград), нектар агавы.  <br /><br />Не содержит соли, алкоголя пшеницы, дрожжей, крахмала, жиров, яичного белка.	235 мл	475	ЭД Медицин	172	Дыхательная 	Системы и направления/Здоровое питание/Регуляторы систем и функций организма/Системы организма/Дыхательная /
Концентрат напитка «Бальзам 20 трав», 150 мл	https://argo.pro/catalog/dykhatelnaya-sistema/800166/	172	13.0		Индивидуальная непереносимость компонентов.	2 ч. л. бальзама растворить в стакане воды с добавлением сахара или без. Можно применять как добавку в чай – по 1 ч. л. на чашку.	"В составе  напитка ""Бальзам 20 трав""  большое количество антиоксидантов, содержащихся в зеленом чае, а также ягодах: чернике, черноплодной рябине, красном винограде, клюкве. <br />Напиток окзывает общеукрепляющее действие, способствует снижению уровня холестерина, нормализации всех видов обмена, снижению активности воспалительных процессов.  <br />""Бальзам 20 трав"" содержит вещества, относящиеся к минорным компонентам пищи, обладающие выраженными физиологическими эффектами – регуляция функций нервной, сердечно-сосудистой, пищеварительной, мочевыделительной, дыхательной систем. Наибольшее гармонизирующее действие на нервную систему оказывают экстракты зеленого чая, травы мелиссы, листьев мяты, травы чабреца. В сумме они оказывают антистрессорное действие, способствуют снятию напряженности, нервозности.  <br />Благоприятное действие на сердечно-сосудистую систему оказывают экстракты зеленого чая, листьев мяты, корня дягиля, корня астрагала, плодов шиповника, боярышника, черники, черноплодной рябины, красного винограда, клюквы. Они оказывают регулирующее действие на сосуды, улучшают обменные процессы в миокарде, подавляют перекисное окисление липидов, улучшают липидный обмен.  <br />Ряд компонентов положительно влияют на функции желудочно-кишечного тракта. Это прежде всего экстракты цветков ромашки, травы мелиссы, листьев мяты, корня дягиля, кукурузных рылец, травы чабреца, корня астрагала. Они способствуют выработке пищеварительных секретов, в первую очередь, желчи, предупреждают спастические нарушения перистальтики.  <br />""Бальзам 20 трав"" способен благотворно влиять на функцию почек за счет экстрактов кукурузных рылец, травы чабреца, плодов красной рябины, клюквы.  <br />Улучшают функцию дыхательных путей экстракты цветков ромашки, травы мелиссы, листьев мяты, травы чабреца, корня астрагала. <br />Ягоды являются источниками витаминов – С, группы В, К, А и других каротиноидов.  <br /><br />Среди каротиноидов привлекают внимание такие как ликопин и лютеин, содержащиеся в значительном количестве в ягодах годжи, которые наряду с витамином А, играют важную роль в физиологии сетчатки глаза. "	Экстракты зеленого чая, цветков ромашки, травы мелиссы, листьев мяты, корня дягиля, кукурузных рылец, листьев крапивы, травы чабреца, корня лопуха, корня астрагала, плодов шиповника, боярышника, черники, черноплодной рябины, малины, красного винограда, земляники, красной рябины, клюквы, ягод годжи.	150 мл	220	Апифарм	172	Дыхательная 	Системы и направления/Здоровое питание/Регуляторы систем и функций организма/Системы организма/Дыхательная /
Таурин, капсулы, 60 шт	https://argo.pro/catalog/dykhatelnaya-sistema/915305/	172	45.0	Показания к применению:  <br />Нервная система: <br />- стрессы и хронические заболевания ими вызванные;  <br />- нервное напряжение, неврозы, перепады настроения, повышенная агрессивность, раздражительность; низкое либидо;  <br />- потеря внимания, концентрации;  <br />- повышенное давление (внутриглазное, внутричерепное), мышечные судороги.  <br />Сердечно-сосудистая система:  <br />- улучшение функционирования сердечной мышцы;  <br />- борьба с аритмией;  <br />- профилактика тромбоза.  <br />Пищеварительная система:  <br />- профилактика работы желчного пузыря;  <br />- снижение аппетита.  <br />Дыхательная система:  <br />- защита легких от воздействия неблагоприятной среды; <br /> - улучшение усвоения кислорода.  <br />Эндокринная система:  <br />- защита от гипергликемии;  <br />- при проблемах с лишним весом;  <br />- укрепление иммунитета.  <br />Зрительная система:  <br />- проблемы с сетчаткой глаз;  <br />- защита органов зрения при повышенном напряжении.  <br />Рекомендации по применению: взрослым принимать по 1 капсуле 1 раз в день во время еды, запивая водой. Продолжительность приема – не более 4–6 недель с перерывом 2 недели.	Индивидуальная непереносимость компонентов, беременность, кормление грудью, дети до 18 лет, бессонница, артериальная гипертензия, заболевания щитовидной железы.		L-таурин – эффективный контролер ионных потоков, хороший мембраностабилизатор, предупреждающий раннюю клеточную гибель, улучшающий обменные процессы.  <br />Является отличным кардиотропным средством, обеспечивает оптимальный энергетический баланс в организме.  <br />Часто его используют для предупреждения мышечных судорог, это вещество не имеет аналогов в медицине при изготовлении спортпитания, энергетиков.  <br />Таурин обеспечивает снижение глюкозы в крови, что имеет важное значение для больных с сахарным диабетом. Таурин стимулирует производство гормона роста, продукт считается мощным антиокислителем, частично предотвращает травмы суставов, связок.	В 1 капсуле: L-таурин – 500 мг. Вспомогательные компоненты: мука длиннозерного белого риса, желатин (оболочка капсулы) (бычий), стеарат магния Е470 (агент антислеживающий), диоксид кремния Е551 (антислеживающий агент). Энергетическая и пищевая ценность: 1,16 ккал / 4,86 кДж; белки – 0,02 г; жиры – 0,01 г; углеводы – 0,25 г.	Капсулы 60 шт.	85	NutriCare Int.	172	Дыхательная 	Системы и направления/Здоровое питание/Регуляторы систем и функций организма/Системы организма/Дыхательная /
Карамель леденцовая «Таежная» для бронхов и легких, мед и облепиха, 32,5 г	https://argo.pro/catalog/dykhatelnaya-sistema/1853997/	172	7.0	Способ применения: 1-2 шт. 3 раза в день.	Индивидуальная непереносимость компонентов.		Мёд натуральный – противомикробное, заживляющее, смягчающее действие.  <br />Масло облепихи – заживляющее, иммуномодулирующее средство. <br />Кедровое масло – смягчающее, заживляющее действие.  <br />Прополис – «пчелиный клей». Оказывает противовоспалительное, противомикробное, противовирусное, антиоксидантное, местноанестезирующее действие.  <br />Экстракт чабреца – отхаркивающее и противомикробное средство. <br />Изомальт – сахарозаменитель нового поколения, не вызывает резких колебаний уровня глюкозы в крови.	Изомальт, патока крахмальная, кедровое масло, кедровая живица, экстракт солодки, экстракт чабреца, прополис, мёд натуральный, масло облепихи, лимонная кислота, витамин С.  <br />Энергетическая ценность на 100 г продукта – 220 ккал.	Туба с леденцами 32.5 г	33 г	Апифарм	172	Дыхательная 	Системы и направления/Здоровое питание/Регуляторы систем и функций организма/Системы организма/Дыхательная /
Карамель леденцовая «Таежная» для горла и иммунитета, шалфей, 32,5 г	https://argo.pro/catalog/dykhatelnaya-sistema/1854192/	172	7.0	Способ применения: 1-2 шт. 3 раза в день.	Индивидуальная непереносимость компонентов.		Масло и экстракт шалфея – природный мощный антисептик. Экстракт курильского чая является источником многих веществ с антибактериальной, противовирусной, противовоспалительной и иммуномодулирующей активностью.  <br />Прополис – «пчелиный клей». Оказывает противовоспалительное, противомикробное, противовирусное, антиоксидантное, местноанестезирующее действие.  <br />Кедровая живица – противовоспалительное, противомикробное средство.  <br />Изомальт – сахарозаменитель нового поколения, не вызывает резких колебаний уровня глюкозы в крови.  <br />Экстракт чаги – обладает иммуностимулирующим действием. Экстракт солодки – противовоспалительное, отхаркивающее действие.	Изомальт, патока крахмальная, экстракт курильского чая, экстракт солодки, экстракт чаги, кедровая живица, прополис, экстракт шалфея, лимонная кислота, витамин С, масло шалфея.  <br />Энергетическая ценность на 100 г продукта – 220 ккал.	Туба с леденцами 32.5 г.	33	Апифарм	172	Дыхательная 	Системы и направления/Здоровое питание/Регуляторы систем и функций организма/Системы организма/Дыхательная /
Драже профилактическое «Пантошка» с цинком и витамином D3, 80 г	https://argo.pro/catalog/dykhatelnaya-sistema/2123903/	172	12.0		Индивидуальная непереносимость.	Рекомендации по применению:  <br />для детей от 3 до 7 лет – 2–3 драже в день;  <br />для детей от 7 до 11 лет – 3–4 драже в день;  <br />для детей старше 11 лет и взрослых – 4–5 драже в день, что составит 20–60 % от суточной нормы потребления цинка (Zn), витаминов D3, С. Рекомендуется длительный приём.	Синергия цинка (Zn), витаминов D3, С и фитокомпонентов создает полноценный комплексный продукт для формирования и укрепления иммунитета. <br />Детям от 3 лет и взрослым!  <br /><br /><br />Цинк (Zn) (цитрат цинка – оптимальное по биодоступности соединение цинка) – один из наиболее важных минералов, который поддерживает активность более 350 различных биохимических реакций в организме. Трудно назвать физиологический процесс, в котором бы цинк не принимал участие. Цинк - общепризнанный иммуномодулятор, необходимый для формирования активности иммунной системы организма, созревания и проявления защитных функций иммунных клеток и выработке антител. Цинк эффективен в профилактике бронхолегочных заболеваний, острых кишечных и вирусных инфекций. Именно цинк угнетает размножение (репликацию) РНК-вирусов (в том числе коронавирусов) в клетках, блокируя дальнейшее распространение инфекции. Цинку принадлежит ключевая роль в трансляции и экспрессии генетической информации, т.е. в активации и синтезе белков, закодированных в генах организма человека. Этим «запуском» генетического кода обусловлена решающая роль цинка для процессов роста в детском возрасте, своевременного полового развития подростков, необходимость для правильного развития мозга и нормальной работы нервной системы.  <br />Витамин D3 (холекальциферол) активизирует клеточный иммунитет, улучшает иммунную модуляцию, обладает антимикробной активностью. Благодаря способности подавлять развитие воспалительных процессов, витамин D3 необходим для здоровья органов дыхания, обязателен в комплексной профилактике вирусных, бактериальных и грибковых инфекций. Витамин D3 влияет на функционирование костного мозга, отвечающего за выработку иммунных клеток, напрямую модулируя иммунитет.  <br />Доказано положительное влияние холекальциферола на формирование костной системы, рост клеток и гармоничное состояние нервной системы.  <br />Витамин С (аскорбиновая кислота) – антиоксидант, иммуномодулятор и мощный катализатор защитных механизмов организма. Оказывает влияние на вирусные инфекции дыхательных путей, предотвращает развитие тяжелого острого респираторного синдрома (ТОРС), усиливает выработку белков интерферона – «борцов» с вирусами.  <br />Пантогематоген является богатым источником природных биостимуляторов, адаптогенов, комплекса аминокислот, органических соединений цинка, способствует повышению общего тонуса и защитных сил организма, а также стимулирует его физическую активность. Обладает мощной иммуномодулирующей активностью. Усиливает процессы кроветворения, не позволяя вирусам угнетать клетки крови. Повышает уровень гемоглобина, активизируя тем самым транспорт кислорода в кровотоке. Дополнительная стимуляция переноса кислорода молекулами гемоглобина, позволяет насыщать кислородом ткани органов дыхания, помогает восстановлению организма после перенесенных заболеваний. Прополис – природный комплекс редких витаминов, минералов и аминокислот. Обладает иммуномодулирующим, противовоспалительным, очищающим, регенерирующим действием. Прополис повышает защитные свойства организма, уничтожает микробы, вирусы, бактерии, избавляет от воспалений, обезболивает и стимулирует обменные процессы. <br />  Экстракт плодов облепихи является природным витаминно-минеральным комплексом, отличным иммуностимулятором, обладает антибактериальными, выраженными противовоспалительными свойствами, применяется при простудных и вирусных заболеваниях. Облепиха обладает восстанавливающими свойствами, ускоряя заживление повреждённых инфекцией органов и слизистых оболочек. Экстракт плодов шиповника способствует укреплению иммунитета, повышению сопротивляемости организма к воздействию бактерий и вирусов. Содержит целый комплекс необходимых человеку минералов и витаминов, среди которых витамин С в самой высокой концентрации, каротин, рутин, железо, калий, фосфор, марганец, магний, а также антиоксиданты, дубильные вещества, фитонциды и органические кислоты.  <br />Экстракт календулы (цветки) обладает противовоспалительным и болеутоляющим, противогрибковым и заживляющим свойствами, является сильным спазмолитиком, активизирует иммунитет.  <br />Экстракт душицы используют для укрепления иммунитета, а также как антимикробное, противовоспалительное и отхаркивающее средство при лечении заболеваний органов дыхания - бронхите и пневмонии.  <br />Экстракт плодов рябины красной обладает иммуномодулирующими и бактерицидными свойствами благодаря флавоноидам – надежным «защитникам» иммунитета. Содержит пектины и пищевые волокна, способные выводить из организма шлаки. Рябина богата витамином Е и каротином, которые помогают регенерации, образованию новых клеток и восстановлению систем организма.	Глюкоза (декстроза моногидрат), молоко сухое цельное, сахар белый, сухой глюкозный сироп, масло кокосовое рафинированное дезодорированное, какао-порошок, кафос (антислеживатель), лецитин соевый (антиокислитель), патока крахмальная, аскорбиновая кислота (витамин С), цинка цитрат (источник цинка), пантогематоген, экстракт облепиховый (плоды) сухой, экстракт шиповника сухой, кислота яблочная (регулятор кислотности), ароматизатор натуральный «молочно-сливочный», экстракт календулы (цветки) сухой, экстракт душицы сухой, холекальциферол (витамин D3), экстракт рябины красной сухой, краситель натуральный «Ферронат Р», прополис, воск пчелиный (глазирователь). Одно драже содержит: цинка (Zn) – 1,2 мг, витамина D3 – 1 мкг, витамина С – 9,0 мг.	80 г.	95	ЮГ	172	Дыхательная 	Системы и направления/Здоровое питание/Регуляторы систем и функций организма/Системы организма/Дыхательная /
Живица кедра 12,5% с алтеем, 50 мл	https://argo.pro/catalog/dykhatelnaya-sistema/2179873/	172	15.0	«Живица кедра с алтеем» применяется:  <br />• для улучшения состояния верхних и нижних дыхательный путей, в том числе для профилактики и коррекции при заболеваниях дыхательных путей (в том числе носа, горла, гортани, трахеи, бронхов);  <br />• для гармонизации иммунитета, улучшения функции клеток крови лейкоцитов по фагоцитозу, то есть поглощению болезнетворных микроорганизмов;  <br />• для защиты слизистой оболочки органов желудочно-кишечного тракта: глотки, пищевода, желудка, кишечника, в том числе при наличии воспаления и эрозий слизистой оболочки.  <br />Способ применения: прием живицы внутрь рекомендуется начинать с 5 капель утром и вечером за 15 мин. до еды, и, ежедневно увеличивая дозировку на 5 капель за прием, довести до двух чайных ложек в день – по одной на утренний и вечерний прием. Продолжительность курса – 2 месяца. После этого необходимо сделать перерыв на один месяц и при необходимости повторить курс. Тест на аллергию.  <br />Перед применением живицы рекомендуется сделать пробный тест на переносимость продукта. Нанесите небольшое количество живицы на внутреннюю часть запястья или локтя и подождите сутки. Если появится покраснение, припухлость, зуд или жжение, продукт использовать не рекомендуется.  <br />В случае обострения.  <br />Применение живицы на фоне хронических заболеваний может вызвать временное обострение, что является нормальной реакцией организма. В этом случае рекомендуется снизить дозировку или полностью прекратить прием продукта на несколько дней до уменьшения/прекращения симптомов, а затем продолжить курс, постепенно увеличивая дозировку. Как правило, повторный курс переносится гораздо легче и не вызывает неприятных ощущений.	• индивидуальная непереносимость компонентов;  <br />• беременность и кормление грудью;  <br />• лечение онкологических заболеваний методами химиотерапии.  <br />Детям до 14 лет продукт рекомендуется применять только в качестве наружного средства.		Алтей лекарственный представляет многолетнее травянистое растение, корень которого содержит большое количество слизей, состоящих из уроновых кислот (например, галактуроновая кислота), полисахаридов. Также в корнях содержится аминокислота аспарагин, бетаин, каротин. Экстракты алтея относят к слизистым средствам за присущие ему обволакивающие и отхаркивающие свойства для улучшения состояния слизистых оболочек дыхательных путей и желудочно-кишечного тракта при их воспалении и раздражении.  <br />Также экстракты корней алтея улучшают иммунитет (стимулируют фагоцитоз, то есть поглощение болезнетворных микроорганизмов клетками крови лейкоцитами).  <br />Живица (терпентин) – это смолистое вещество, выделяющееся на стволах и ветках хвойных деревьев. Застывая, живица приобретает твердую форму.  <br />В качестве оздоровительного и профилактического средства применяется живица, растворенная в растительном масле в различном процентном соотношении. Живица кедра в кедровом масле 12,5% обладает выраженным иммуномодулирующим, бактерицидным, ранозаживляющим, противовоспалительным, противоязвенным, антиоксидантным, антимутагенным, адаптогенным, антисклеротическим, нейропротекторным действием, снижает риск возникновения опухолевых заболеваний.	Масло кедровое нерафинированное, полученное методом холодного отжима, живица кедра в концентрации 12,5%, СО2-экстракт корня алтея.	50 мл	70	Дэльфа	172	Дыхательная 	Системы и направления/Здоровое питание/Регуляторы систем и функций организма/Системы организма/Дыхательная /
